Epoch,Total_Loss,Struct_Loss,Feat_Loss,AUC
0,5.56929,5.12573,5.68018,0.6726
5,7.00319,12.46412,5.63796,N/A
10,5.49355,5.07338,5.59859,0.7928
15,5.19093,3.76260,5.54802,N/A
20,5.02302,3.00411,5.52774,0.8473
25,4.93273,2.62596,5.50942,N/A
30,4.87499,2.39953,5.49386,0.8621
35,4.83408,2.23879,5.48290,N/A
40,4.80680,2.13759,5.47410,0.8679
45,4.78720,2.07370,5.46558,N/A
50,4.77098,2.02669,5.45706,0.8708
55,4.75954,1.99979,5.44947,N/A
60,4.74959,1.98251,5.44136,0.8731
65,4.74034,1.97204,5.43241,N/A
70,4.73280,1.96403,5.42500,0.8739
75,4.72508,1.95661,5.41719,N/A
80,4.71914,1.95305,5.41067,0.8719
85,4.71293,1.94902,5.40390,N/A
90,4.70598,1.94378,5.39653,0.8667
95,4.70141,1.94347,5.39089,N/A
100,4.69614,1.93974,5.38523,0.8619
